name,place,price
成都华宇锦城名都,银河北街198号 ,0
成都红枫岭三期,建设南路160号 ,7803
成都龙城一号,龙城大道1号 ,0
成都诺丁山,武兴一路2号 ,7408
成都莲花逸都,海椒市街68号 ,0
成都中海格林威治城,望江路1号 ,23064
成都瑞升望江橡树林,三官堂街1号橡树林路166号 ,0
成都金科一城,东丽街138号 ,0
成都国际花园,永丰路24号附1号 ,0
成都会所花园,晋阳巷2号（会所印象旁边） ,0
成都世纪城天鹅湖花园,世纪城路88号 ,11652
成都左右,东坡北二路169号 ,7588
成都龙湖三千城,二环路东二段1号 ,0
成都上道西城,武青北路76号 ,0
成都翡翠城五期,华润路36号 ,0
成都华侨城纯水岸,交大立交桥外侧西华大道9号（欢乐谷对面) ,22998
成都红枫岭二期,圣灯路111号 ,7670
成都佳兆业丽晶港,同兴东路88号 ,5779
成都怡丰新城,天府大道南段651号 ,14151
成都鸿阁一号,龙灯山路281号 ,0
成都天府长城图南多,高新区天顺路222号 ,0
成都鑫苑名家,牡丹街595号 ,17330
成都蓝光花满庭,洞子口路333号 ,15521
成都新里柏仕公馆,金马河路8号附11号 ,6895
成都青房尚瑞天韵,蜀西环街59号 ,0
成都雕墅,锦兴路1号（锦兴路和红星路交叉） ,10253
成都丽景华庭二期,龙腾西路3号（清水河桥外300米） ,8976
成都长久新城,金牛长青北街28号 ,11364
成都澳龙名城,牛沙北路171号 ,10277
成都上东阳光,洪河大道8号 ,11750
成都观南上域,新光路1号 ,22249
成都中华锦绣,潮音大道109号 ,7417
成都上锦雅筑,火车南站西路25号 ,16246
成都华府金沙,蜀源路1号(金沙西单商场旁) ,0
成都新里派克公馆,金粮路566号 ,13439
成都南城都汇1期汇翠园,成都市雍翠路222号 ,0
成都中海龙湾半岛,龙腾正街1号/龙腾中路8号 ,21900
成都恒大城,凤溪大道南段555号 ,6727
成都东苑小区,桂溪路123号 ,22983
成都华润二十四城二期,双成三路18号（万象城附近） ,11293
成都中海城南一号,交子大道199号 ,13587
成都华润二十四城,双庆路6号 ,20377
成都中海国际社区橙郡,蜀西路399号 ,17061
成都绿地世纪城,北新干线以东，北三环内侧 ,14510
成都蜀都花园,水碾河路14号 ,0
成都龙湖三千里,成华区建业路88号 ,11545
成都蓝光圣菲TOWN城,黄河中路36号 ,6027
成都浅水半岛,成华区欣然一街1号 ,9538
成都久居福,西南航港区临港路四段9号 ,9796
成都蓝光SOFA社区,成飞大道南段238号 ,7436
成都御府花都,天泰路47号 ,0
成都天府长城半岛城邦,高新区濯锦东路（成都七中实验中学街对面500米） ,0
