index,name,place,price,经纬度,latitude,longitude
0,成都战旗乡村别墅,唐昌镇战旗村 ,1981,"103.124799,30.283336",103.124799,30.283336
1,成都凤凰台,华阳正北街188号 ,0,"103.356977,30.572343",103.356977,30.572343
2,成都高宇滨水国际,滨江路中段159号 ,4641,"103.447466,30.413847",103.447466,30.413847
3,成都瑞云壹号村庄,司马大道1号 ,0,"103.447981,30.406744",103.447981,30.406744
4,成都教育局宿舍,学道街53号 ,11849,"103.453986,30.411881",103.453986,30.411881
5,成都供电局宿舍,一环路东四段6号 ,0,"103.455794,30.407781",103.455794,30.407781
6,成都电力宿舍,城中一环内大慈寺路 ,0,"103.455794,30.407781",103.455794,30.407781
7,成都都市豪庭,西街电影院对面 ,0,"103.456176,30.414312",103.456176,30.414312
8,成都天晴美地,临邛镇西较场口街109号 ,0,"103.456502,30.412168",103.456502,30.412168
9,成都城建局宿舍,新都区桂湖东路 ,0,"103.459744,30.422428",103.459744,30.422428
10,成都临邛世家,文庙街28号 ,3572,"103.460840,30.406639",103.46084,30.406639
11,成都天府临邛,凤凰大道649号 ,3173,"103.471828,30.401680",103.471828,30.40168
12,成都郫县地税小区,郫县郫筒镇包家巷 ,5592,"103.473288,30.403149",103.473288,30.403149
13,成都农商银行宿舍,武侯二环路南一段16号 ,18543,"103.475600,30.411681",103.4756,30.411681
14,成都阳光欣苑,前锋路6号 ,0,"103.478851,30.401399",103.478851,30.401399
15,成都青城美庐,都江堰泰安村四组39号 ,0,"103.491759,30.926078",103.491759,30.926078
16,成都青城后山峰安小筑,红岩新村泰安村九组 ,5737,"103.494599,30.918757",103.494599,30.918757
17,成都青城后山水,青城后山山门50米 ,2915,"103.494599,30.918757",103.494599,30.918757
18,成都巴黎岛,成都八宝街口新城市广 ,9037,"103.514718,30.189776",103.514718,30.189776
19,成都丽都花城,围城南路南段130号 ,0,"103.518254,30.582281",103.518254,30.582281
20,成都中铁龙郡,大邑大道128号 ,2854,"103.523082,30.571799",103.523082,30.571799
21,成都展瑞君悦华庭,大邑大道266号 ,0,"103.523477,30.570297",103.523477,30.570297
22,成都邑都上城,晋原镇大邑大道 ,5035,"103.523789,30.568248",103.523789,30.568248
23,成都西岭名苑,邑新大道110号 ,0,"103.526179,30.573608",103.526179,30.573608
24,成都新花园,双林北横路131号 ,7747,"103.526576,30.575284",103.526576,30.575284
